id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
47986803,Cosy studio Nansouty,390200553,Happy Team,Bordeaux,Nansouty - Saint Gens,44.81876,-0.57249,Entire home/apt,55,1,19,2022-08-01,1.00,26,348,12,330630051113F
48437865,Studio avec balcon et place de parking au calme,368997061,Arnaud,Gradignan,Gradignan,44.78929,-0.613,Entire home/apt,33,2,0,,,7,329,0,
47986934,Joli studio Nansouty,390200553,Happy Team,Bordeaux,Nansouty - Saint Gens,44.81738,-0.57101,Entire home/apt,55,1,16,2022-07-16,0.88,26,349,11,3306300511039
48251072,Studio meublé indépendant,4846611,Laurent,Merignac,Capeyron,44.8608,-0.64748,Entire home/apt,90,2,0,,,1,179,0,
47987053,Bel appartement à Nansouty,390200553,Happy Team,Bordeaux,Nansouty - Saint Gens,44.81805,-0.57328,Entire home/apt,85,1,31,2022-09-06,1.67,26,343,22,3306300510933
48445934,Studio A Bordeaux côté Gare st Jean,199170355,Nadou,Bordeaux,Bordeaux Sud,44.82712,-0.55953,Private room,39,1,92,2022-08-25,4.99,3,73,45,
48007627,Studio indépendant dans une résidence,351939980,Lucile,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82491,-0.59096,Entire home/apt,45,13,3,2022-08-17,0.16,1,0,1,3306300807864
48454422,Appartement cosy aux portes de Bordeaux,157622913,Géraldine,Lormont,Lormont,44.86888,-0.51391,Entire home/apt,55,2,29,2022-08-28,1.60,1,164,17,
48252080,Appartement avec grande terrasse exposition sud,208074449,Véronique,Le Taillan-Mdoc,Le Taillan-Mdoc,44.90759,-0.66721,Entire home/apt,80,2,20,2022-06-19,1.22,1,84,14,
48010811,Apparemment 2 pièces 33m2 Bordeaux centre Victoire,32591251,Sophie Et Adrien,Bordeaux,Bordeaux Sud,44.83177,-0.57102,Entire home/apt,60,365,0,,,1,0,0,
